source,domain,scenario_name,density_pct,policy,metric,mean,ci_low,ci_high,ci_width,interval_collapsed,n_seeds
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,mean_wait_min,1.95,1.95,1.95,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,mean_matched_riders_per_driver,0.35,0.35,0.35,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,profit_per_launched_driver,-5.63,-5.63,-5.63,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,served_riders,580.0,580.0,580.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,rider_service_rate,0.14,0.14,0.14,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,mean_wait_min,2.21,2.21,2.21,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,mean_matched_riders_per_driver,0.58,0.58,0.58,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,heuristic_feasible_count,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,profit_per_launched_driver,-5.48,-5.48,-5.48,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,served_riders,530.0,530.0,530.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,rider_service_rate,0.13,0.13,0.13,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,mean_wait_min,2.18,2.18,2.18,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,mean_matched_riders_per_driver,0.53,0.53,0.53,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,warmup,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,profit_per_launched_driver,-5.3,-5.3,-5.3,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,served_riders,590.0,590.0,590.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,rider_service_rate,0.15,0.15,0.15,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,mean_wait_min,2.19,2.19,2.19,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,mean_matched_riders_per_driver,0.59,0.59,0.59,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,oracle,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,profit_per_launched_driver,-8.08,-8.08,-8.08,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,served_riders,160.0,160.0,160.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,rider_service_rate,0.041,0.041,0.041,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,mean_wait_min,2.51,2.51,2.51,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,mean_matched_riders_per_driver,0.16,0.16,0.16,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,coldstart,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,profit_per_launched_driver,-7.3,-7.3,-7.3,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,served_riders,290.0,290.0,290.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,rider_service_rate,0.074,0.074,0.074,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,mean_wait_min,2.52,2.52,2.52,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,mean_matched_riders_per_driver,0.29,0.29,0.29,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,heuristic_feasible_count,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,profit_per_launched_driver,-7.15,-7.15,-7.15,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,served_riders,270.0,270.0,270.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,rider_service_rate,0.07,0.07,0.07,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,mean_wait_min,2.56,2.56,2.56,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,mean_matched_riders_per_driver,0.27,0.27,0.27,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,warmup,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,profit_per_launched_driver,-7.02,-7.02,-7.02,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,served_riders,290.0,290.0,290.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,rider_service_rate,0.074,0.074,0.074,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,mean_wait_min,2.54,2.54,2.54,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,mean_matched_riders_per_driver,0.29,0.29,0.29,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d10,10,oracle,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,profit_per_launched_driver,-2.2,-2.2,-2.2,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,served_riders,860.0,860.0,860.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,rider_service_rate,0.21,0.21,0.21,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,mean_wait_min,1.71,1.71,1.71,0.0,True,5
